commit_hash,label,commit_hour,commit_day_of_week,message_length,avg_line_length,snake_case_ratio,camelCase_ratio,comment_ratio,files_changed_count
0da39c76e3c67293aef2234b43aff8728d9002eb,Armin Ronacher,18,5,29,29.0,0.0,0.0,0.0,2
0c54d0a0e5dfec25cd60329e09622d42905d0969,Armin Ronacher,20,5,31,31.0,0.0,0.0,0.0,1
c21caa5047f966aa5f6a3d0e5e4611abd44ae861,Armin Ronacher,20,5,41,41.0,0.0,0.0,0.0,1
85d43079d137c3f15e3ed7a9545ba2db92718194,Armin Ronacher,3,6,36,36.0,0.0,0.0,0.0,1
58fa088abc0f0e511d934e822f917b796d418bb3,Armin Ronacher,3,6,36,36.0,0.0,0.0,0.0,1
36e24299e35cd0c6a593d9eea3130a7737a15eea,Armin Ronacher,14,6,41,41.0,0.0,0.0,0.0,3
3ac4ec670c881668aaedb2c3937bae5e10984988,Armin Ronacher,17,6,59,59.0,0.0,0.0,0.0,6
d22428bc8e8c3cf5e6006497cb8164decde31924,Armin Ronacher,17,6,51,51.0,0.0,0.0,0.0,1
606b006e2391d12fec5313ce606d82463d7aad07,Armin Ronacher,17,6,51,51.0,0.0,0.0,0.0,5
f419937d2c5f2db16a8157a0a061b92c38876649,Armin Ronacher,17,6,22,22.0,0.0,0.0,0.0,1
41de12984495198423cbce73ac059ccee0fbfd30,Armin Ronacher,17,6,41,41.0,0.0,0.0,0.0,7
4559e4f0f14272fb4fb31f3bf79bf592a9f781df,Armin Ronacher,18,6,37,37.0,0.0,0.0,0.0,3
13933eeaf8b6c7685aaf1c769efe97763d64ea0d,Armin Ronacher,20,6,41,41.0,0.0,0.0,0.0,3
36717b02731ad7d86ba8effbe27e70405e48cd9b,Armin Ronacher,14,1,58,58.0,0.0,0.0,0.0,4
31493850de3d7765d09419aa49b98089f79da3c2,Armin Ronacher,11,6,51,51.0,0.0,0.0,0.0,1
f1603d33f266ab24eda604f76632fa604b91e3f9,Armin Ronacher,11,6,44,44.0,0.0,0.0,0.0,2
a9284afde97c30d136e8ec675794c7cdcf4ca277,Armin Ronacher,11,6,39,39.0,0.0,0.0,0.0,1
8d49440d8b881b2df2c10085a58d3a4e4085147e,Armin Ronacher,11,6,76,76.0,0.0,0.0,0.0,1
a7266ffb90d109f94da96e9eea5f5bb4ff8ddc71,Armin Ronacher,12,6,43,43.0,0.0,0.0,0.0,1
eeb0e949518720ff5302bcf336fc72dea44737d0,Armin Ronacher,12,6,21,21.0,0.0,0.0,0.0,9
7e1db5978c3c7aedcb43d7e2036edc85b0a22a6b,Armin Ronacher,12,6,44,44.0,0.0,0.0,0.0,1
75461c1467bbb2d83ee787bb13f4a338a4b8ad3e,Armin Ronacher,19,6,34,34.0,0.2,0.0,0.0,3
36f659b82b9079ec8492c1b52a0c0b058ebdf2eb,Armin Ronacher,19,6,63,15.0,0.0,0.0,0.0,3
d0eefb01d16bd058172363a9847b5d98ccd1abc9,Armin Ronacher,12,0,52,52.0,0.0,0.0,0.0,1
9248a7baca5bc616a60f9b63b525e872fbfddef2,Armin Ronacher,13,0,49,49.0,0.0,0.0,0.0,1
ce53d10236279e4798365d991ab4ff838cb16d36,Armin Ronacher,13,0,41,41.0,0.0,0.0,0.0,2
dffb3d091c0e42b7254fe88218811c24c0054f7e,Armin Ronacher,14,0,40,40.0,0.0,0.0,0.0,2
f345af8d9d33e6164747c865c29a72186a470c22,Armin Ronacher,19,0,34,34.0,0.0,0.0,0.0,1
9da5795d79196e13d802915509180118809042a7,Armin Ronacher,20,0,41,41.0,0.0,0.0,0.0,3
67fc46526234653b0a519e9f1e8a05a2c40c80f8,florentx,1,1,59,59.0,0.0,0.0,0.0,2
720bede150d835be0ffedf4d480482552c90908d,Armin Ronacher,20,0,41,41.0,0.0,0.0,0.0,2
bc0c0559e384dc88441775a3907487f4a2b515b4,Armin Ronacher,11,1,20,20.0,0.0,0.0,0.0,9
a921aef6c47cecbacef5173f03c07c52e6bc8fea,Armin Ronacher,11,1,50,50.0,0.125,0.0,0.0,2
